image_path,file_name,split,folder_category,severity_score,target_class,original_parent,unique_filename
Dataset\Gambo\Train\Normal\L-1639.png,L-1639.png,Train,Normal,0,0,Train,Train_Normal_L-1639.png
Dataset\Gambo\Train\Corrected\1_32967.png,1_32967.png,Train,Corrected,1,1,Train,Train_Corrected_1_32967.png
Dataset\Gambo\Train\Normal\I-1113.png,I-1113.png,Train,Normal,0,0,Train,Train_Normal_I-1113.png
Dataset\Gambo\Train\Corrected\6_4654.png,6_4654.png,Train,Corrected,6,1,Train,Train_Corrected_6_4654.png
Dataset\Gambo\Test\Corrected\3_766.png,3_766.png,Train,Corrected,3,1,Test,Test_Corrected_3_766.png
Dataset\Gambo\Train\Corrected\4_1344.png,4_1344.png,Train,Corrected,4,1,Train,Train_Corrected_4_1344.png
Dataset\Gambo\Train\Corrected\1_4055.png,1_4055.png,Train,Corrected,1,1,Train,Train_Corrected_1_4055.png
Dataset\Gambo\Train\Normal\H-2146.png,H-2146.png,Train,Normal,0,0,Train,Train_Normal_H-2146.png
Dataset\Gambo\Train\Corrected\5_6202.png,5_6202.png,Train,Corrected,5,1,Train,Train_Corrected_5_6202.png
Dataset\Gambo\Train\Corrected\1_37126.png,1_37126.png,Train,Corrected,1,1,Train,Train_Corrected_1_37126.png
Dataset\Gambo\Train\Corrected\6_532.png,6_532.png,Train,Corrected,6,1,Train,Train_Corrected_6_532.png
Dataset\Gambo\Test\Corrected\1_2747.png,1_2747.png,Train,Corrected,1,1,Test,Test_Corrected_1_2747.png
Dataset\Gambo\Test\Corrected\6_436.png,6_436.png,Train,Corrected,6,1,Test,Test_Corrected_6_436.png
Dataset\Gambo\Train\Reversal\6_25731.png,6_25731.png,Train,Reversal,6,1,Train,Train_Reversal_6_25731.png
Dataset\Gambo\Train\Normal\E-1901.png,E-1901.png,Train,Normal,0,0,Train,Train_Normal_E-1901.png
Dataset\Gambo\Train\Corrected\3_6265.png,3_6265.png,Train,Corrected,3,1,Train,Train_Corrected_3_6265.png
Dataset\Gambo\Train\Corrected\1_25934.png,1_25934.png,Train,Corrected,1,1,Train,Train_Corrected_1_25934.png
Dataset\Gambo\Train\Corrected\1_33895.png,1_33895.png,Train,Corrected,1,1,Train,Train_Corrected_1_33895.png
Dataset\Gambo\Train\Reversal\6_26988.png,6_26988.png,Train,Reversal,6,1,Train,Train_Reversal_6_26988.png
Dataset\Gambo\Train\Corrected\6_5240.png,6_5240.png,Train,Corrected,6,1,Train,Train_Corrected_6_5240.png
Dataset\Gambo\Train\Normal\B-1341.png,B-1341.png,Train,Normal,0,0,Train,Train_Normal_B-1341.png
Dataset\Gambo\Test\Normal\P-153.png,P-153.png,Train,Normal,0,0,Test,Test_Normal_P-153.png
Dataset\Gambo\Train\Corrected\4_1403.png,4_1403.png,Train,Corrected,4,1,Train,Train_Corrected_4_1403.png
Dataset\Gambo\Train\Reversal\6_18339.png,6_18339.png,Train,Reversal,6,1,Train,Train_Reversal_6_18339.png
Dataset\Gambo\Train\Corrected\1_19879.png,1_19879.png,Train,Corrected,1,1,Train,Train_Corrected_1_19879.png
Dataset\Gambo\Train\Reversal\6_21105.png,6_21105.png,Train,Reversal,6,1,Train,Train_Reversal_6_21105.png
Dataset\Gambo\Train\Corrected\1_18415.png,1_18415.png,Train,Corrected,1,1,Train,Train_Corrected_1_18415.png
Dataset\Gambo\Test\Reversal\6_4511.png,6_4511.png,Train,Reversal,6,1,Test,Test_Reversal_6_4511.png
Dataset\Gambo\Train\Corrected\6_2207.png,6_2207.png,Train,Corrected,6,1,Train,Train_Corrected_6_2207.png
Dataset\Gambo\Test\Normal\O-276.png,O-276.png,Train,Normal,0,0,Test,Test_Normal_O-276.png
Dataset\Gambo\Test\Corrected\4_838.png,4_838.png,Train,Corrected,4,1,Test,Test_Corrected_4_838.png
Dataset\Gambo\Train\Corrected\1_1801.png,1_1801.png,Train,Corrected,1,1,Train,Train_Corrected_1_1801.png
Dataset\Gambo\Train\Normal\E-1990.png,E-1990.png,Train,Normal,0,0,Train,Train_Normal_E-1990.png
Dataset\Gambo\Test\Corrected\3_1403.png,3_1403.png,Train,Corrected,3,1,Test,Test_Corrected_3_1403.png
Dataset\Gambo\Train\Corrected\2_1721.png,2_1721.png,Train,Corrected,2,1,Train,Train_Corrected_2_1721.png
Dataset\Gambo\Train\Reversal\6_10517.png,6_10517.png,Train,Reversal,6,1,Train,Train_Reversal_6_10517.png
Dataset\Gambo\Test\Corrected\5_592.png,5_592.png,Train,Corrected,5,1,Test,Test_Corrected_5_592.png
Dataset\Gambo\Train\Corrected\1_22721.png,1_22721.png,Train,Corrected,1,1,Train,Train_Corrected_1_22721.png
Dataset\Gambo\Train\Corrected\1_2639.png,1_2639.png,Train,Corrected,1,1,Train,Train_Corrected_1_2639.png
Dataset\Gambo\Train\Normal\A-543.png,A-543.png,Train,Normal,0,0,Train,Train_Normal_A-543.png
Dataset\Gambo\Train\Corrected\4_4738.png,4_4738.png,Train,Corrected,4,1,Train,Train_Corrected_4_4738.png
Dataset\Gambo\Train\Corrected\3_841.png,3_841.png,Train,Corrected,3,1,Train,Train_Corrected_3_841.png
Dataset\Gambo\Train\Reversal\6_24778.png,6_24778.png,Train,Reversal,6,1,Train,Train_Reversal_6_24778.png
Dataset\Gambo\Train\Corrected\1_31565.png,1_31565.png,Train,Corrected,1,1,Train,Train_Corrected_1_31565.png
Dataset\Gambo\Train\Corrected\3_3511.png,3_3511.png,Train,Corrected,3,1,Train,Train_Corrected_3_3511.png
Dataset\Gambo\Train\Corrected\1_16536.png,1_16536.png,Train,Corrected,1,1,Train,Train_Corrected_1_16536.png
Dataset\Gambo\Train\Reversal\6_25434.png,6_25434.png,Train,Reversal,6,1,Train,Train_Reversal_6_25434.png
Dataset\Gambo\Train\Corrected\6_5645.png,6_5645.png,Train,Corrected,6,1,Train,Train_Corrected_6_5645.png
Dataset\Gambo\Train\Normal\B-1478.png,B-1478.png,Train,Normal,0,0,Train,Train_Normal_B-1478.png
Dataset\Gambo\Train\Corrected\5_4955.png,5_4955.png,Train,Corrected,5,1,Train,Train_Corrected_5_4955.png
Dataset\Gambo\Train\Corrected\1_27174.png,1_27174.png,Train,Corrected,1,1,Train,Train_Corrected_1_27174.png
Dataset\Gambo\Train\Corrected\6_610.png,6_610.png,Train,Corrected,6,1,Train,Train_Corrected_6_610.png
Dataset\Gambo\Train\Corrected\5_3271.png,5_3271.png,Train,Corrected,5,1,Train,Train_Corrected_5_3271.png
Dataset\Gambo\Train\Reversal\6_31560.png,6_31560.png,Train,Reversal,6,1,Train,Train_Reversal_6_31560.png
Dataset\Gambo\Train\Corrected\1_1314.png,1_1314.png,Train,Corrected,1,1,Train,Train_Corrected_1_1314.png
Dataset\Gambo\Train\Corrected\3_5878.png,3_5878.png,Train,Corrected,3,1,Train,Train_Corrected_3_5878.png
Dataset\Gambo\Train\Reversal\6_10380.png,6_10380.png,Train,Reversal,6,1,Train,Train_Reversal_6_10380.png
Dataset\Gambo\Train\Corrected\1_30913.png,1_30913.png,Train,Corrected,1,1,Train,Train_Corrected_1_30913.png
Dataset\Gambo\Train\Normal\H-1358.png,H-1358.png,Train,Normal,0,0,Train,Train_Normal_H-1358.png
Dataset\Gambo\Train\Reversal\6_22591.png,6_22591.png,Train,Reversal,6,1,Train,Train_Reversal_6_22591.png
Dataset\Gambo\Train\Corrected\4_3107.png,4_3107.png,Train,Corrected,4,1,Train,Train_Corrected_4_3107.png
Dataset\Gambo\Train\Normal\C-1454.png,C-1454.png,Train,Normal,0,0,Train,Train_Normal_C-1454.png
Dataset\Gambo\Train\Corrected\1_12652.png,1_12652.png,Train,Corrected,1,1,Train,Train_Corrected_1_12652.png
Dataset\Gambo\Test\Normal\J-115.png,J-115.png,Train,Normal,0,0,Test,Test_Normal_J-115.png
Dataset\Gambo\Test\Normal\O-398.png,O-398.png,Train,Normal,0,0,Test,Test_Normal_O-398.png
Dataset\Gambo\Train\Corrected\1_27546.png,1_27546.png,Train,Corrected,1,1,Train,Train_Corrected_1_27546.png
Dataset\Gambo\Train\Normal\M-1168.png,M-1168.png,Train,Normal,0,0,Train,Train_Normal_M-1168.png
Dataset\Gambo\Train\Reversal\6_32135.png,6_32135.png,Train,Reversal,6,1,Train,Train_Reversal_6_32135.png
Dataset\Gambo\Train\Reversal\6_22814.png,6_22814.png,Train,Reversal,6,1,Train,Train_Reversal_6_22814.png
Dataset\Gambo\Train\Corrected\2_2305.png,2_2305.png,Train,Corrected,2,1,Train,Train_Corrected_2_2305.png
Dataset\Gambo\Train\Corrected\3_1018.png,3_1018.png,Train,Corrected,3,1,Train,Train_Corrected_3_1018.png
Dataset\Gambo\Train\Normal\H-2474.png,H-2474.png,Train,Normal,0,0,Train,Train_Normal_H-2474.png
Dataset\Gambo\Test\Normal\L-362.png,L-362.png,Train,Normal,0,0,Test,Test_Normal_L-362.png
Dataset\Gambo\Train\Reversal\6_29276.png,6_29276.png,Train,Reversal,6,1,Train,Train_Reversal_6_29276.png
Dataset\Gambo\Train\Reversal\6_8288.png,6_8288.png,Train,Reversal,6,1,Train,Train_Reversal_6_8288.png
Dataset\Gambo\Train\Corrected\3_560.png,3_560.png,Train,Corrected,3,1,Train,Train_Corrected_3_560.png
Dataset\Gambo\Train\Corrected\1_37515.png,1_37515.png,Train,Corrected,1,1,Train,Train_Corrected_1_37515.png
Dataset\Gambo\Train\Corrected\4_6373.png,4_6373.png,Train,Corrected,4,1,Train,Train_Corrected_4_6373.png
Dataset\Gambo\Train\Corrected\1_3913.png,1_3913.png,Train,Corrected,1,1,Train,Train_Corrected_1_3913.png
Dataset\Gambo\Train\Corrected\5_1786.png,5_1786.png,Train,Corrected,5,1,Train,Train_Corrected_5_1786.png
Dataset\Gambo\Train\Normal\G-1363.png,G-1363.png,Train,Normal,0,0,Train,Train_Normal_G-1363.png
Dataset\Gambo\Train\Corrected\1_2065.png,1_2065.png,Train,Corrected,1,1,Train,Train_Corrected_1_2065.png
Dataset\Gambo\Train\Corrected\4_6197.png,4_6197.png,Train,Corrected,4,1,Train,Train_Corrected_4_6197.png
Dataset\Gambo\Test\Corrected\4_1158.png,4_1158.png,Train,Corrected,4,1,Test,Test_Corrected_4_1158.png
Dataset\Gambo\Train\Corrected\4_2671.png,4_2671.png,Train,Corrected,4,1,Train,Train_Corrected_4_2671.png
Dataset\Gambo\Train\Normal\H-1502.png,H-1502.png,Train,Normal,0,0,Train,Train_Normal_H-1502.png
Dataset\Gambo\Test\Normal\I-105.png,I-105.png,Train,Normal,0,0,Test,Test_Normal_I-105.png
Dataset\Gambo\Train\Reversal\6_6169.png,6_6169.png,Train,Reversal,6,1,Train,Train_Reversal_6_6169.png
Dataset\Gambo\Train\Reversal\6_3082.png,6_3082.png,Train,Reversal,6,1,Train,Train_Reversal_6_3082.png
Dataset\Gambo\Train\Corrected\3_1330.png,3_1330.png,Train,Corrected,3,1,Train,Train_Corrected_3_1330.png
Dataset\Gambo\Test\Normal\K-328.png,K-328.png,Train,Normal,0,0,Test,Test_Normal_K-328.png
Dataset\Gambo\Train\Normal\K-2174.png,K-2174.png,Train,Normal,0,0,Train,Train_Normal_K-2174.png
Dataset\Gambo\Train\Corrected\1_12621.png,1_12621.png,Train,Corrected,1,1,Train,Train_Corrected_1_12621.png
Dataset\Gambo\Train\Reversal\6_30224.png,6_30224.png,Train,Reversal,6,1,Train,Train_Reversal_6_30224.png
Dataset\Gambo\Train\Reversal\6_5419.png,6_5419.png,Train,Reversal,6,1,Train,Train_Reversal_6_5419.png
Dataset\Gambo\Train\Corrected\4_5056.png,4_5056.png,Train,Corrected,4,1,Train,Train_Corrected_4_5056.png
Dataset\Gambo\Train\Corrected\1_21382.png,1_21382.png,Train,Corrected,1,1,Train,Train_Corrected_1_21382.png
Dataset\Gambo\Test\Corrected\1_7294.png,1_7294.png,Train,Corrected,1,1,Test,Test_Corrected_1_7294.png
Dataset\Gambo\Train\Reversal\6_641.png,6_641.png,Train,Reversal,6,1,Train,Train_Reversal_6_641.png
Dataset\Gambo\Train\Reversal\6_809.png,6_809.png,Train,Reversal,6,1,Train,Train_Reversal_6_809.png
Dataset\Gambo\Train\Reversal\6_893.png,6_893.png,Train,Reversal,6,1,Train,Train_Reversal_6_893.png
Dataset\Gambo\Train\Reversal\6_24270.png,6_24270.png,Train,Reversal,6,1,Train,Train_Reversal_6_24270.png
Dataset\Gambo\Test\Normal\E-391.png,E-391.png,Train,Normal,0,0,Test,Test_Normal_E-391.png
Dataset\Gambo\Train\Corrected\2_5917.png,2_5917.png,Train,Corrected,2,1,Train,Train_Corrected_2_5917.png
Dataset\Gambo\Train\Normal\H-1935.png,H-1935.png,Train,Normal,0,0,Train,Train_Normal_H-1935.png
Dataset\Gambo\Test\Corrected\1_7719.png,1_7719.png,Train,Corrected,1,1,Test,Test_Corrected_1_7719.png
Dataset\Gambo\Train\Corrected\1_33068.png,1_33068.png,Train,Corrected,1,1,Train,Train_Corrected_1_33068.png
Dataset\Gambo\Train\Corrected\3_1889.png,3_1889.png,Train,Corrected,3,1,Train,Train_Corrected_3_1889.png
Dataset\Gambo\Train\Corrected\5_4685.png,5_4685.png,Train,Corrected,5,1,Train,Train_Corrected_5_4685.png
Dataset\Gambo\Train\Reversal\6_12691.png,6_12691.png,Train,Reversal,6,1,Train,Train_Reversal_6_12691.png
Dataset\Gambo\Train\Reversal\6_19006.png,6_19006.png,Train,Reversal,6,1,Train,Train_Reversal_6_19006.png
Dataset\Gambo\Train\Reversal\6_6386.png,6_6386.png,Train,Reversal,6,1,Train,Train_Reversal_6_6386.png
Dataset\Gambo\Train\Corrected\4_5685.png,4_5685.png,Train,Corrected,4,1,Train,Train_Corrected_4_5685.png
Dataset\Gambo\Train\Reversal\6_27247.png,6_27247.png,Train,Reversal,6,1,Train,Train_Reversal_6_27247.png
Dataset\Gambo\Train\Reversal\6_13563.png,6_13563.png,Train,Reversal,6,1,Train,Train_Reversal_6_13563.png
Dataset\Gambo\Test\Corrected\1_736.png,1_736.png,Train,Corrected,1,1,Test,Test_Corrected_1_736.png
Dataset\Gambo\Test\Corrected\2_941.png,2_941.png,Train,Corrected,2,1,Test,Test_Corrected_2_941.png
Dataset\Gambo\Train\Corrected\1_4920.png,1_4920.png,Train,Corrected,1,1,Train,Train_Corrected_1_4920.png
Dataset\Gambo\Train\Reversal\6_13195.png,6_13195.png,Train,Reversal,6,1,Train,Train_Reversal_6_13195.png
Dataset\Gambo\Train\Corrected\1_15475.png,1_15475.png,Train,Corrected,1,1,Train,Train_Corrected_1_15475.png
Dataset\Gambo\Train\Corrected\1_36413.png,1_36413.png,Train,Corrected,1,1,Train,Train_Corrected_1_36413.png
Dataset\Gambo\Train\Reversal\6_22196.png,6_22196.png,Train,Reversal,6,1,Train,Train_Reversal_6_22196.png
Dataset\Gambo\Train\Normal\S-3317.png,S-3317.png,Train,Normal,0,0,Train,Train_Normal_S-3317.png
Dataset\Gambo\Train\Corrected\3_1929.png,3_1929.png,Train,Corrected,3,1,Train,Train_Corrected_3_1929.png
Dataset\Gambo\Train\Corrected\1_34236.png,1_34236.png,Train,Corrected,1,1,Train,Train_Corrected_1_34236.png
Dataset\Gambo\Train\Corrected\6_4072.png,6_4072.png,Train,Corrected,6,1,Train,Train_Corrected_6_4072.png
Dataset\Gambo\Train\Corrected\1_36757.png,1_36757.png,Train,Corrected,1,1,Train,Train_Corrected_1_36757.png
Dataset\Gambo\Train\Corrected\1_10726.png,1_10726.png,Train,Corrected,1,1,Train,Train_Corrected_1_10726.png
Dataset\Gambo\Train\Reversal\6_5155.png,6_5155.png,Train,Reversal,6,1,Train,Train_Reversal_6_5155.png
Dataset\Gambo\Train\Corrected\4_6327.png,4_6327.png,Train,Corrected,4,1,Train,Train_Corrected_4_6327.png
Dataset\Gambo\Train\Reversal\6_30545.png,6_30545.png,Train,Reversal,6,1,Train,Train_Reversal_6_30545.png
Dataset\Gambo\Train\Normal\C-1950.png,C-1950.png,Train,Normal,0,0,Train,Train_Normal_C-1950.png
Dataset\Gambo\Test\Normal\X-239.png,X-239.png,Train,Normal,0,0,Test,Test_Normal_X-239.png
Dataset\Gambo\Train\Corrected\1_26670.png,1_26670.png,Train,Corrected,1,1,Train,Train_Corrected_1_26670.png
Dataset\Gambo\Train\Reversal\6_31545.png,6_31545.png,Train,Reversal,6,1,Train,Train_Reversal_6_31545.png
Dataset\Gambo\Train\Corrected\1_23849.png,1_23849.png,Train,Corrected,1,1,Train,Train_Corrected_1_23849.png
Dataset\Gambo\Train\Corrected\2_6282.png,2_6282.png,Train,Corrected,2,1,Train,Train_Corrected_2_6282.png
Dataset\Gambo\Train\Corrected\5_4325.png,5_4325.png,Train,Corrected,5,1,Train,Train_Corrected_5_4325.png
Dataset\Gambo\Train\Normal\K-875.png,K-875.png,Train,Normal,0,0,Train,Train_Normal_K-875.png
Dataset\Gambo\Train\Corrected\2_5381.png,2_5381.png,Train,Corrected,2,1,Train,Train_Corrected_2_5381.png
Dataset\Gambo\Train\Corrected\1_16225.png,1_16225.png,Train,Corrected,1,1,Train,Train_Corrected_1_16225.png
Dataset\Gambo\Train\Reversal\6_7006.png,6_7006.png,Train,Reversal,6,1,Train,Train_Reversal_6_7006.png
Dataset\Gambo\Train\Reversal\6_26454.png,6_26454.png,Train,Reversal,6,1,Train,Train_Reversal_6_26454.png
Dataset\Gambo\Train\Reversal\6_7636.png,6_7636.png,Train,Reversal,6,1,Train,Train_Reversal_6_7636.png
Dataset\Gambo\Train\Reversal\6_7966.png,6_7966.png,Train,Reversal,6,1,Train,Train_Reversal_6_7966.png
Dataset\Gambo\Train\Corrected\2_2971.png,2_2971.png,Train,Corrected,2,1,Train,Train_Corrected_2_2971.png
Dataset\Gambo\Train\Reversal\6_18663.png,6_18663.png,Train,Reversal,6,1,Train,Train_Reversal_6_18663.png
Dataset\Gambo\Train\Corrected\6_6092.png,6_6092.png,Train,Corrected,6,1,Train,Train_Corrected_6_6092.png
Dataset\Gambo\Train\Corrected\1_2904.png,1_2904.png,Train,Corrected,1,1,Train,Train_Corrected_1_2904.png
Dataset\Gambo\Test\Normal\C-243.png,C-243.png,Train,Normal,0,0,Test,Test_Normal_C-243.png
Dataset\Gambo\Test\Reversal\6_3534.png,6_3534.png,Train,Reversal,6,1,Test,Test_Reversal_6_3534.png
Dataset\Gambo\Train\Corrected\1_31153.png,1_31153.png,Train,Corrected,1,1,Train,Train_Corrected_1_31153.png
Dataset\Gambo\Train\Reversal\6_9131.png,6_9131.png,Train,Reversal,6,1,Train,Train_Reversal_6_9131.png
Dataset\Gambo\Train\Corrected\5_752.png,5_752.png,Train,Corrected,5,1,Train,Train_Corrected_5_752.png
Dataset\Gambo\Test\Corrected\1_6593.png,1_6593.png,Train,Corrected,1,1,Test,Test_Corrected_1_6593.png
Dataset\Gambo\Train\Reversal\6_29679.png,6_29679.png,Train,Reversal,6,1,Train,Train_Reversal_6_29679.png
Dataset\Gambo\Train\Corrected\1_341.png,1_341.png,Train,Corrected,1,1,Train,Train_Corrected_1_341.png
Dataset\Gambo\Train\Corrected\5_2113.png,5_2113.png,Train,Corrected,5,1,Train,Train_Corrected_5_2113.png
Dataset\Gambo\Train\Corrected\1_10662.png,1_10662.png,Train,Corrected,1,1,Train,Train_Corrected_1_10662.png
Dataset\Gambo\Test\Corrected\5_712.png,5_712.png,Train,Corrected,5,1,Test,Test_Corrected_5_712.png
Dataset\Gambo\Train\Reversal\6_5324.png,6_5324.png,Train,Reversal,6,1,Train,Train_Reversal_6_5324.png
Dataset\Gambo\Test\Reversal\6_5084.png,6_5084.png,Train,Reversal,6,1,Test,Test_Reversal_6_5084.png
Dataset\Gambo\Test\Corrected\4_521.png,4_521.png,Train,Corrected,4,1,Test,Test_Corrected_4_521.png
Dataset\Gambo\Train\Reversal\6_20385.png,6_20385.png,Train,Reversal,6,1,Train,Train_Reversal_6_20385.png
Dataset\Gambo\Test\Corrected\1_6938.png,1_6938.png,Train,Corrected,1,1,Test,Test_Corrected_1_6938.png
Dataset\Gambo\Train\Corrected\5_2807.png,5_2807.png,Train,Corrected,5,1,Train,Train_Corrected_5_2807.png
Dataset\Gambo\Train\Corrected\3_4521.png,3_4521.png,Train,Corrected,3,1,Train,Train_Corrected_3_4521.png
Dataset\Gambo\Test\Corrected\5_285.png,5_285.png,Train,Corrected,5,1,Test,Test_Corrected_5_285.png
Dataset\Gambo\Train\Reversal\6_7130.png,6_7130.png,Train,Reversal,6,1,Train,Train_Reversal_6_7130.png
Dataset\Gambo\Train\Corrected\1_25954.png,1_25954.png,Train,Corrected,1,1,Train,Train_Corrected_1_25954.png
Dataset\Gambo\Test\Corrected\1_1071.png,1_1071.png,Train,Corrected,1,1,Test,Test_Corrected_1_1071.png
Dataset\Gambo\Test\Normal\F-49.png,F-49.png,Train,Normal,0,0,Test,Test_Normal_F-49.png
Dataset\Gambo\Train\Corrected\1_38526.png,1_38526.png,Train,Corrected,1,1,Train,Train_Corrected_1_38526.png
Dataset\Gambo\Train\Normal\D-2161.png,D-2161.png,Train,Normal,0,0,Train,Train_Normal_D-2161.png
Dataset\Gambo\Train\Corrected\1_10413.png,1_10413.png,Train,Corrected,1,1,Train,Train_Corrected_1_10413.png
Dataset\Gambo\Train\Corrected\1_32563.png,1_32563.png,Train,Corrected,1,1,Train,Train_Corrected_1_32563.png
Dataset\Gambo\Train\Reversal\6_13270.png,6_13270.png,Train,Reversal,6,1,Train,Train_Reversal_6_13270.png
Dataset\Gambo\Train\Reversal\6_5239.png,6_5239.png,Train,Reversal,6,1,Train,Train_Reversal_6_5239.png
Dataset\Gambo\Train\Corrected\1_25833.png,1_25833.png,Train,Corrected,1,1,Train,Train_Corrected_1_25833.png
Dataset\Gambo\Test\Normal\K-147.png,K-147.png,Train,Normal,0,0,Test,Test_Normal_K-147.png
Dataset\Gambo\Train\Corrected\3_2426.png,3_2426.png,Train,Corrected,3,1,Train,Train_Corrected_3_2426.png
Dataset\Gambo\Train\Corrected\1_29853.png,1_29853.png,Train,Corrected,1,1,Train,Train_Corrected_1_29853.png
Dataset\Gambo\Train\Corrected\1_38598.png,1_38598.png,Train,Corrected,1,1,Train,Train_Corrected_1_38598.png
Dataset\Gambo\Train\Normal\G-897.png,G-897.png,Train,Normal,0,0,Train,Train_Normal_G-897.png
Dataset\Gambo\Train\Normal\F-788.png,F-788.png,Train,Normal,0,0,Train,Train_Normal_F-788.png
Dataset\Gambo\Train\Reversal\6_18783.png,6_18783.png,Train,Reversal,6,1,Train,Train_Reversal_6_18783.png
Dataset\Gambo\Train\Normal\D-1396.png,D-1396.png,Train,Normal,0,0,Train,Train_Normal_D-1396.png
Dataset\Gambo\Train\Corrected\1_12703.png,1_12703.png,Train,Corrected,1,1,Train,Train_Corrected_1_12703.png
Dataset\Gambo\Train\Corrected\4_2349.png,4_2349.png,Train,Corrected,4,1,Train,Train_Corrected_4_2349.png
Dataset\Gambo\Train\Reversal\6_5995.png,6_5995.png,Train,Reversal,6,1,Train,Train_Reversal_6_5995.png
Dataset\Gambo\Train\Corrected\1_4275.png,1_4275.png,Train,Corrected,1,1,Train,Train_Corrected_1_4275.png
Dataset\Gambo\Train\Corrected\3_2412.png,3_2412.png,Train,Corrected,3,1,Train,Train_Corrected_3_2412.png
Dataset\Gambo\Train\Corrected\1_18665.png,1_18665.png,Train,Corrected,1,1,Train,Train_Corrected_1_18665.png
Dataset\Gambo\Test\Reversal\6_321.png,6_321.png,Train,Reversal,6,1,Test,Test_Reversal_6_321.png
Dataset\Gambo\Train\Reversal\6_6324.png,6_6324.png,Train,Reversal,6,1,Train,Train_Reversal_6_6324.png
Dataset\Gambo\Train\Reversal\6_16366.png,6_16366.png,Train,Reversal,6,1,Train,Train_Reversal_6_16366.png
Dataset\Gambo\Train\Normal\G-2434.png,G-2434.png,Train,Normal,0,0,Train,Train_Normal_G-2434.png
Dataset\Gambo\Test\Corrected\1_5741.png,1_5741.png,Train,Corrected,1,1,Test,Test_Corrected_1_5741.png
Dataset\Gambo\Train\Normal\C-1922.png,C-1922.png,Train,Normal,0,0,Train,Train_Normal_C-1922.png
Dataset\Gambo\Train\Corrected\2_4104.png,2_4104.png,Train,Corrected,2,1,Train,Train_Corrected_2_4104.png
Dataset\Gambo\Train\Reversal\6_23954.png,6_23954.png,Train,Reversal,6,1,Train,Train_Reversal_6_23954.png
Dataset\Gambo\Test\Corrected\1_6660.png,1_6660.png,Train,Corrected,1,1,Test,Test_Corrected_1_6660.png
Dataset\Gambo\Train\Reversal\6_13711.png,6_13711.png,Train,Reversal,6,1,Train,Train_Reversal_6_13711.png
Dataset\Gambo\Train\Reversal\6_15904.png,6_15904.png,Train,Reversal,6,1,Train,Train_Reversal_6_15904.png
Dataset\Gambo\Test\Reversal\6_4625.png,6_4625.png,Train,Reversal,6,1,Test,Test_Reversal_6_4625.png
Dataset\Gambo\Train\Corrected\5_419.png,5_419.png,Train,Corrected,5,1,Train,Train_Corrected_5_419.png
Dataset\Gambo\Train\Reversal\6_6143.png,6_6143.png,Train,Reversal,6,1,Train,Train_Reversal_6_6143.png
Dataset\Gambo\Test\Normal\R-140.png,R-140.png,Train,Normal,0,0,Test,Test_Normal_R-140.png
Dataset\Gambo\Test\Corrected\1_5773.png,1_5773.png,Train,Corrected,1,1,Test,Test_Corrected_1_5773.png
Dataset\Gambo\Train\Normal\H-1268.png,H-1268.png,Train,Normal,0,0,Train,Train_Normal_H-1268.png
Dataset\Gambo\Test\Normal\S-3082.png,S-3082.png,Train,Normal,0,0,Test,Test_Normal_S-3082.png
Dataset\Gambo\Train\Normal\M-1231.png,M-1231.png,Train,Normal,0,0,Train,Train_Normal_M-1231.png
Dataset\Gambo\Test\Reversal\6_3380.png,6_3380.png,Train,Reversal,6,1,Test,Test_Reversal_6_3380.png
Dataset\Gambo\Train\Corrected\1_15911.png,1_15911.png,Train,Corrected,1,1,Train,Train_Corrected_1_15911.png
Dataset\Gambo\Train\Reversal\6_10818.png,6_10818.png,Train,Reversal,6,1,Train,Train_Reversal_6_10818.png
Dataset\Gambo\Train\Corrected\1_26419.png,1_26419.png,Train,Corrected,1,1,Train,Train_Corrected_1_26419.png
Dataset\Gambo\Train\Reversal\6_10667.png,6_10667.png,Train,Reversal,6,1,Train,Train_Reversal_6_10667.png
Dataset\Gambo\Train\Corrected\1_22416.png,1_22416.png,Train,Corrected,1,1,Train,Train_Corrected_1_22416.png
Dataset\Gambo\Train\Normal\H-2075.png,H-2075.png,Train,Normal,0,0,Train,Train_Normal_H-2075.png
Dataset\Gambo\Train\Corrected\4_2995.png,4_2995.png,Train,Corrected,4,1,Train,Train_Corrected_4_2995.png
Dataset\Gambo\Test\Reversal\6_2860.png,6_2860.png,Train,Reversal,6,1,Test,Test_Reversal_6_2860.png
Dataset\Gambo\Train\Corrected\4_381.png,4_381.png,Train,Corrected,4,1,Train,Train_Corrected_4_381.png
Dataset\Gambo\Train\Corrected\4_5975.png,4_5975.png,Train,Corrected,4,1,Train,Train_Corrected_4_5975.png
Dataset\Gambo\Train\Normal\I-943.png,I-943.png,Train,Normal,0,0,Train,Train_Normal_I-943.png
Dataset\Gambo\Train\Normal\N-777.png,N-777.png,Train,Normal,0,0,Train,Train_Normal_N-777.png
Dataset\Gambo\Train\Reversal\6_24472.png,6_24472.png,Train,Reversal,6,1,Train,Train_Reversal_6_24472.png
Dataset\Gambo\Train\Reversal\6_30525.png,6_30525.png,Train,Reversal,6,1,Train,Train_Reversal_6_30525.png
Dataset\Gambo\Test\Reversal\6_3759.png,6_3759.png,Train,Reversal,6,1,Test,Test_Reversal_6_3759.png
Dataset\Gambo\Train\Corrected\1_36051.png,1_36051.png,Train,Corrected,1,1,Train,Train_Corrected_1_36051.png
